City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,dakhla,23.6848,-15.958,24.01,23,20,8.75,EH,1734335271
139,ain beida,35.7964,7.3928,4.57,84,62,5.42,DZ,1734335272
140,san antonio de pale,-1.4014,5.6325,26.96,82,16,3.08,GQ,1734335273
141,taroudant,30.4703,-8.877,19.0,19,100,5.59,MA,1734335274
142,chinde,26.8212,87.7095,23.78,36,0,2.57,NP,1734335276
143,surovikino,48.6078,42.8486,-0.09,84,100,8.4,RU,1734335277
144,devarkonda,16.7,78.9333,26.23,23,8,3.3,IN,1734335279
145,xiaoweizhai,26.1903,107.5125,14.37,54,69,1.46,CN,1734335280
146,brookings,44.3114,-96.7984,0.66,93,100,3.6,US,1734335281
147,khadan khak,30.7477,67.7085,9.0,43,2,4.98,PK,1734335282
148,port sudan,19.6175,37.2164,26.41,59,27,5.28,SD,1734335283
149,castillos,-34.1667,-53.8333,16.36,92,23,3.95,UY,1734335284
150,souillac,-20.5167,57.5167,27.21,78,40,6.17,MU,1734335286
151,enewetak,11.3474,162.3373,27.73,85,6,11.17,MH,1734335287
152,ak-dovurak,51.1833,90.6,-18.11,85,100,0.6,RU,1734335288
153,kailua-kona,19.6406,-155.9956,23.98,69,0,3.09,US,1734335289
154,acarau,-2.8856,-40.12,25.87,83,72,5.67,BR,1734335290
155,sisimiut,66.9395,-53.6735,-10.35,81,93,6.75,GL,1734335291
156,kiffa,16.6166,-11.4045,21.35,12,55,5.12,MR,1734335293
157,saint-pierre,-21.3393,55.4781,29.82,66,0,10.29,RE,1734335295
158,kodiak,57.79,-152.4072,0.73,100,100,2.06,US,1734335296
159,mejit,10.2753,170.8646,27.64,86,93,10.82,MH,1734335297
160,mielec,50.2871,21.4239,6.55,90,100,10.43,PL,1734335298
161,saint-francois,46.4154,3.9054,4.8,94,100,2.06,FR,1734335299
162,madalena,41.2162,-8.3345,9.32,83,54,2.44,PT,1734335300
163,klyuchi,52.2667,79.1667,-10.37,82,9,6.26,RU,1734335301
164,lata,40.1629,-8.3327,3.63,78,100,2.33,PT,1734335302
165,kijang,35.2442,129.2139,7.85,41,3,2.2,KR,1734335306
166,swakopmund,-22.6833,14.5333,17.77,81,3,1.79,NA,1734335307
167,puerto baquerizo moreno,-0.9,-89.6,21.51,89,100,3.52,EC,1734335308
168,vadso,70.0744,29.7487,-8.91,79,75,13.89,NO,1734335309
169,yendi,9.4427,-0.0099,24.5,16,0,3.77,GH,1734335310
170,alesund,62.4723,6.1549,7.64,60,40,11.32,NO,1734335311
171,tual,-5.6667,132.75,28.21,79,100,10.48,ID,1734335312
172,baniachang,24.5167,91.3667,28.07,26,5,1.42,BD,1734335313
173,miguel calmon,-11.4289,-40.595,20.1,96,100,0.74,BR,1734335315
174,parnamirim,-5.9156,-35.2628,26.94,78,75,5.14,BR,1734335316
175,newman,37.3138,-121.0208,6.69,92,100,0.45,US,1734335317
